iata,icao,airline
,AVF,Aviair Aviation Ltd.
,AVH,AV8 Helicopters
,AVJ,Avia Traffic Company
,AVK,AV8 Helicopters
,AVM,"Aviación Ejecutiva Mexicana, S.A."
,AVO,Aviation at Work
,AVP,Avcorp Registrations
,LFP,Alfa Aerospace
,LFR,Atlantic Airfreight Aviation
,AVS,Avialsa T-35
,AVT,Asia Avia Airlines
,AVU,Avia Sud Aérotaxi
,AVV,Airvantage Incorporated
,AVW,Aviator Airways
,YRG,Air Yugoslavia
K8,ZAK,Airlink Zambia
,ZZM,Agence Nationale des Aerodromes et de la Meteorologie (ANAM)
4Y,BGA,Airbus Transport International
B9,BGD,Air Bangladesh
,BGF,Aviodetachment-28
,BGG,Aero BG
,BHC,Aerotaxis De La Bahia
,BIV,Aviaservice
,SZA,Aerolíneas de El Salvador
,AVY,"Aerovaradero, S.A."
,AWB,"Airways International, Inc."
,AWK,Airwork
,AWO,Awood Air Ltd.
,AWR,Arctic Wings And Rotors Ltd.
,ISM,Auo Airclub AIST-M
,AWS,Arab Wings
,AWV,"Airwave Transport, Inc."
,AWY,"Aeroway, S.L."
,AXH,Aeromexhaga
,AXI,"Aeron International Airlines, Inc."
,AXK,African Express Airways
AK,AXM,AirAsia
D7,XAX,AirAsia X
DJ,WAJ,AirAsia Japan
I5,IAD,AirAsia India
,AXN,Alexandair
,AXP,Aeromax
,BNI,Alberni Airways
,BNZ,Aerolíneas Bonanza
,BOC,Aerobona
,AXR,"Axel Rent, S.A."
,AXS,Altus Airlines
,AXV,AVA Airlines
,AYD,Aladia Airlines
,AYK,Aykavia Aircompany
,AYM,"Airman, S.L."
,NPT,West Atlantic UK
,GBN,Atlantic Airlines
EX,BJK,Atlantic Airlines
,HHA,Atlantic Airlines de Honduras
,AYN,"Atlantic Airlines, S.A."
,AYS,Awsaj Aviation Services
,AYT,Ayeet Aviation & Tourism
3G,AYZ,Atlant-Soyuz Airlines
AZ,AZA,Alitalia
ZE,AZE,Arcus-Air Logistic
A2,AZI,Astra Airlines
,AZK,Azalhelikopter
,AZL,Africa One
,AZM,Aerocozumel
,AZP,Arizona Pacific Airways
,AZS,Aviacon Zitotrans Air Company
,AZT,"Azimut, S.A."
,AZV,Azov Avia Airlines
,MHC,Aero Jomacha
,AZZ,Azza Transport
,NAR,Air Continental Inc
,NAU,Antanik-Air
,NER,Air Newark
,NFF,Aircraft Support and Services
,OBA,Aerobanana
,OBK,Amako Airlines
R7,OCA,Aserca Airlines
,NFS,Afrique Cargo Service Senegal
,NGC,Angoservice
,NGE,Angel Airlines
,OUL,Air Atonabee
,OVA,Aero Nova
,XPE,Amira Air
,XSS,Aero Express Intercontinental
,TLR,Air Libya Tibesti
,OVC,Aerovic
,RVE,Airventure
,RVI,Aero Servicios
,RVL,Airvallee
,OVE,Aeromover
,OVI,Aerovías Ejecutivas
,PTD,Aero Servicio Pity
,PTE,Aero Copter
,PLL,Air Pal
,PLM,Air Pullmantur
,PSG,Aviones Para Servirle
,SLU,Avio Sluzba
,SCU,Air Scorpio
,SIP,Air Spirit
,BMV,Alatau Airlines
,GUG,Aviateca
,PXX,Aroostook Aviation
,PYC,Aeropycsa
,PVK,Association of Private Pilots of Kazakhstan
,BAS,Aero Services
,BBT,Air Bashkortostan
,MCY,Ambulance Air Africa
MQ,EGF,American Eagle Airlines
,PUE,Aeropuelche
,PUT,Aeroput
ML,ETC,African Transport Trading and Investment Company
,XCT,Aero Costa Taxi Aéreo
,VRO,Aerovitro
,VRI,Aerotaxi Villa Rica
,VEG,Aerovega
,VVG,Aerovilla
,VLR,Aerolíneas Villaverde
WI,WIL,Aero Air
,VEJ,Aero Ejecutivos
,WAB,Aero Industries Inc
,VNG,Aero Servicios Vanguardia
,VAD,Aero Taxi Los Valles
,VMR,Aero Vilamoura
,VLS,Aero Virel
,XAA,Aeronautical Radio Inc
,VUO,Aerovuelox
,VTM,Aeronaves TSM
VU,VUN,Air Ivoire
BP,BOT,Air Botswana
,XPR,Air-Rep
,XLL,Air Excel
,VAE,Air Evans
,WHY,Air Sorel
,WDR,Air Net Private Charter
,XEC,Air Executive Charter
GS,UPA,Air Foyle
,VTY,Air Midwest (Nigeria)
VT,VTA,Air Tahiti
3N,URG,Air Urga
,VDR,Air Vardar
VL,VIM,Air VIA
,WLR,Air Walser
,URA,Aircompany Rosavia
,XLB,Aircraft Performance Group
,WLA,Airwaves Airlink
,XFX,Airways Corporation of New Zealand
,WAY,Airways
